"RefDes","Name","Value","Manufacturer","Quantity","Datasheet"
"C8","CAP_0402","4.7uF 6.3V","","1",""
"D1","1N5817","1N5817-TP","","1","https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf"
"D2","1N5817","1N5817-TP","","1","https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf"
"D3","1N5817","1N5817-TP","","1","https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf"
"D4","1N5817","1N5817-TP","","1","https://www.mccsemi.com/pdf/Products/1N5817-1N5819(DO-41).pdf"
"D5","5MM LED","WIFI_LED_WHITE","","1",""
"D6","5MM LED","BUS_LED_ORANGE","","1",""
"J1","Atari 2600 Cart Edge","","Atari","1",""
"J2","644456-3","PICO UART","TE Connectivity","1","http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf"
"R2","RES400","1k","","1",""
"R6","RES400","1k","","1",""
"R9","RES_0402","10K","","1",""
"R10","RES_0402","10k","","1",""
"R11","RES_0402","10k","","1",""
"R12","RES_0402","10k","","1",""
"R13","RES_0402","10k","","1",""
"R14","RES_0402","10k","","1",""
"S1","SKHHLQA010","RESET","Alps","1","https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf"
"S2","SKHHLQA010","ButtonA","Alps","1","https://tech.alpsalpine.com/prod/e/pdf/tact/snapin/skhh/skhh.pdf"
"SD1","TF-01 MicroSD","","","1",""
"U1","PiPico Purple NoDebug","","","1",""
"U2","ESP32-DEVKITC-VE","","","1",""
