Designator,Name,Fottprint,Mid X,Mid Y,Layer,Rotation,Value
C1,CAP_0402,CAP_0402,30.31,59.8,Top,90,0.1uF
C2,CAP_0402,CAP_0402,31.1,52.89,Top,90,0.1uF
C3,CAP_0402,CAP_0402,31.55,49,Top,0,0.1uF
C4,CAP_0402,CAP_0402,31.64,50.31,Top,0,0.1uF
C5,CAP_0402,CAP_0402,27.8,61,Top,0,0.1uF
C6,CAP_0402,CAP_0402,31.58,47.89,Top,0,4.7uF 6.3V
C10,CAP_0402,CAP_0402,18.43,21.91,Top,90,10uF 10V
C11,CAP_0402,CAP_0402,13.73,23.33,Top,90,4.7uF 6.3V
D1,ESD5Z5.0T1G,ESD5Z5.0T1G,21.19,23.35,Top,270,
D2,ESD5Z5.0T1G,ESD5Z5.0T1G,19.97,23.35,Top,270,
D3,ESD5Z5.0T1G,ESD5Z5.0T1G,20.53,19.05,Top,90,
D4,DIODE_0402,DIODE_0402,36.23,17,Top,90,WIFI_LED_WHITE
D5,DIODE_0402,DIODE_0402,13.68,17,Top,90,BUS_LED_ORANGE
J1,USB-C 16P,USB-C 16P,25.23,12.76,Top,0,
J2,TF-114,TF-114,18.08,37.09,Bottom,90,
J3,DB9F,DB9F,0,0,Top,0,NOSTUFF/DO NOT PLACE
R1,RES_0402,RES_0402,18.43,14.24,Top,90,5.1K
R2,RES_0402,RES_0402,31.42,14.5,Top,90,5.1K
R3,RES_0402,RES_0402,15.67,17.16,Top,270,10k
R4,RES400,RES400,34.13,17,Top,270,1k
R5,RES400,RES400,12.04,16.99,Top,270,1k
R6,RES_0402,RES_0402,38.12,16.95,Top,270,10K
R7,8x0402 Resistor Array,8x0402 Resistor Array,28.67,39.62,Bottom,90,YC248-JR-0710KL
R8,RES_0402,RES_0402,29.09,48.4,Top,90,10K
R10,RES_0402,RES_0402,17.79,49.73,Top,0,10k
R11,RES_0402,RES_0402,17.84,48.56,Top,0,NOSTUFF/DO NOT PLACE
R12,RES_0402,RES_0402,17.89,47.33,Top,0,10k
S1,Tact Mom 2x4 SMD,Tact Mom 2x4 SMD,13.59,11.78,Top,0,TS-A002
S2,Tact Mom 2x4 SMD,Tact Mom 2x4 SMD,36.04,11.37,Top,0,TS-A002
S3,4mm snap dome optional,4mm snap dome optional,16.396,10.202,Top,0,NOSTUFF/DO NOT PLACE
U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1-N16R8,24.43,35.87,Top,270,ESP32-S3-WROOM-1-N16R8
U2,SP3238EEA-L/TR,SP3238EEA-L/TR,24.89,55.12,Top,180,
U3,XC6210,XC6210,16.19,22.47,Top,270,XC6220B331MR
